date,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulative_aqi,temp_high,temp_low,temp_avg,pct_change_aqi,month,weekday
2017-06-07,0.3,3.0,17.0,16.0,0.028,26.0,9.0,8.0,3.6,15.0,0.0,0.0,26.0,66,54,60.0,-0.0714285714285714,6,2
2017-06-08,0.6,7.0,36.0,34.0,0.036,33.0,30.0,28.0,8.9,37.0,5.0,7.0,37.0,73,50,61.5,0.42307692307692313,6,3
2017-06-09,0.5,6.0,36.0,34.0,0.043,40.0,69.0,58.0,16.3,60.0,17.0,24.0,60.0,79,53,66.0,0.6216216216216217,6,4
2017-06-10,0.7,8.0,10.0,9.0,0.064,80.0,30.0,28.0,10.0,42.0,1.0,1.0,80.0,89,67,78.0,0.33333333333333326,6,5
2017-06-11,0.8,9.0,19.0,18.0,0.059,64.0,23.0,21.0,,,10.0,14.0,64.0,91,69,80.0,-0.19999999999999996,6,6
2017-06-12,,,14.0,13.0,0.053,49.0,28.0,26.0,,,1.0,1.0,49.0,93,73,83.0,-0.234375,6,0
2017-06-13,0.3,3.0,18.0,17.0,0.07,100.0,33.0,31.0,,,3.0,4.0,100.0,93,73,83.0,1.0408163265306123,6,1
2017-06-14,0.4,5.0,28.0,26.0,0.052,48.0,40.0,37.0,13.0,53.0,3.0,4.0,53.0,88,69,78.5,-0.47,6,2
2017-06-15,0.4,5.0,32.0,30.0,0.044,41.0,24.0,22.0,7.9,33.0,14.0,20.0,41.0,86,72,79.0,-0.2264150943396226,6,3
2017-06-16,0.3,3.0,24.0,23.0,0.055,51.0,22.0,20.0,4.9,20.0,7.0,10.0,51.0,91,70,80.5,0.24390243902439024,6,4
2017-06-17,0.3,3.0,15.0,14.0,0.056,54.0,29.0,27.0,10.3,43.0,5.0,7.0,54.0,92,72,82.0,0.05882352941176472,6,5
2017-06-18,0.2,2.0,5.0,5.0,0.039,36.0,19.0,18.0,3.0,13.0,0.0,0.0,36.0,90,72,81.0,-0.33333333333333337,6,6
2017-06-19,0.2,2.0,15.0,14.0,0.041,38.0,13.0,12.0,-0.1,0.0,1.0,1.0,38.0,81,63,72.0,0.05555555555555558,6,0
2017-06-20,0.2,2.0,14.0,13.0,0.043,40.0,12.0,11.0,0.3,1.0,0.0,0.0,40.0,80,60,70.0,0.05263157894736836,6,1
2017-06-21,0.3,3.0,27.0,25.0,0.041,38.0,14.0,13.0,5.0,21.0,2.0,3.0,38.0,76,60,68.0,-0.050000000000000044,6,2
