,high_temp,low_temp,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulitive_aqi,pct_change_aqi,average_daily_temp,month,weekday
2017-06-07,66,54,0.3,3.0,17.0,16.0,0.028,26.0,9.0,8.0,3.6,15.0,0.0,0.0,26.0,-0.0714285714285714,60.0,6,2
2017-06-08,73,50,0.6,7.0,36.0,34.0,0.036,33.0,30.0,28.0,8.9,37.0,5.0,7.0,37.0,0.42307692307692313,61.5,6,3
2017-06-09,79,53,0.5,6.0,36.0,34.0,0.043,40.0,69.0,58.0,16.3,60.0,17.0,24.0,60.0,0.6216216216216217,66.0,6,4
2017-06-10,89,67,0.7,8.0,10.0,9.0,0.064,80.0,30.0,28.0,10.0,42.0,1.0,1.0,80.0,0.33333333333333326,78.0,6,5
2017-06-11,91,69,0.8,9.0,19.0,18.0,0.059,64.0,23.0,21.0,,,10.0,14.0,64.0,-0.19999999999999996,80.0,6,6
2017-06-12,93,73,,,14.0,13.0,0.053,49.0,28.0,26.0,,,1.0,1.0,49.0,-0.234375,83.0,6,0
2017-06-13,93,73,0.3,3.0,18.0,17.0,0.07,100.0,33.0,31.0,,,3.0,4.0,100.0,1.0408163265306123,83.0,6,1
2017-06-14,88,69,0.4,5.0,28.0,26.0,0.052,48.0,40.0,37.0,13.0,53.0,3.0,4.0,53.0,-0.47,78.5,6,2
2017-06-15,86,72,0.4,5.0,32.0,30.0,0.044,41.0,24.0,22.0,7.9,33.0,14.0,20.0,41.0,-0.2264150943396226,79.0,6,3
2017-06-16,91,70,0.3,3.0,24.0,23.0,0.055,51.0,22.0,20.0,4.9,20.0,7.0,10.0,51.0,0.24390243902439024,80.5,6,4
2017-06-17,92,72,0.3,3.0,15.0,14.0,0.056,54.0,29.0,27.0,10.3,43.0,5.0,7.0,54.0,0.05882352941176472,82.0,6,5
